committee,candidate
Mai Abdul Rahman for D.C. Schools,"Abdul Rahman, Mai"
Abraham for Ward 8,"Abraham, Jauhar"
Vote Adair for Ward 7,"Adair, Kirk"
Robert Albrecht For Ward 5,"Albrecht, Robert"
Re-Elect Yvette Alexander 2012,"Alexander, Yvette"
Committee to Re-Elect Yvette Alexander,"Alexander, Yvette"
Leo Alexander for Mayor,"Alexander, Leo"
Committee to Elect Yvette M. Alexander,"Alexander, Yvette"
Hugh Allen for School Board,"Allen, Hugh"
Committee to Re-Elect Sandy Allen,"Allen, Sandra"
Committee to Re-Elect Sandy Allen 04,"Allen, Sandra"
Carlos Allen for Mayor,"Allen, Carlos"
Obama Unity Slate,"Allen, Frederick"
Committee to Elect An Almquist,"Almquist, An"
Sharon Ambrose for City Council Committee,"Ambrose, Sharon"
D. Kamili Anderson for Ward 4 School Board,"Anderson, D. Kamili"
D. Kamili Anderson SBOE Re-election Committee,"Anderson, D. Kamili"
Obama Unity Slate,"Anderson Holness, E. Gail"
Baldi for DC Schools,"Baldi, Stephane"
"Committee to Elect Charles ""Chuck"" Ballard City Co","Ballard, Charles"
Barry for Ward 8 Council,"Barry, Marion"
Barry for Ward 8 Re-Election Committee,"Barry, Marion"
Barry for Ward 8,"Barry, Marion"
Committee to Elect Lisa Bass Ward 4,"Bass, Lisa"
Bennett for Ward 7,"Bennett, William"
Committee to Elect Nate Bennet-Fleming,"Bennett-Fleming, Nate"
Obama Unity Slate,"Berry, Jason"
Democratic Comm. to Elect Alvin Bethea,"Bethea, Alvin"
Biddle for School Board,"Biddle, Sekou"
Committee to Re-elect Sekou Biddle,"Biddle, Sekou"
Committee to Elect Sekou Biddle At-Large,"Biddle, Sekou"
Biddle 2012,"Biddle, Sekou"
Bobb for School Board President,"Bobb, Robert"
Bolden 2006 DC Council Member at Large,"Bolden, A. Scott"
Obama for Change 2008,"Bonds, Anita"
Bonds for Council,"Bonds, Anita"
Marc Borbely for School Board,"Borbely, Marc"
Citizens to Elect William Boston Ward 5,"Boston, William"
Committee to Elect David Bowers,"Bowers, David"
Committee to Elect  Renee Bowser to Council Ward 4,"Bowser, Renee"
Muriel Bowser for Ward 4 2008,"Bowser, Muriel"
Muriel Bowser for Ward 4,"Bowser, Muriel"
Committee to Elect Renee Bowser,"Bowser, Renee"
Muriel Bowser for Mayor,"Bowser, Muriel"
